    Token     |     Lexeme     |
--------------------------------
  operator    |  %             |  
  operator    |  %             |  
  identifier  |  x             |  
  operator    |  =             |  
  identifier  |  a             |  
  operator    |  +             |  
  identifier  |  b             |  
  separator   |  ;             |  
  identifier  |  z             |  
  operator    |  =             |  
  identifier  |  c             |  
  operator    |  +             |  
  identifier  |  d             |  
  separator   |  ;             |  
  identifier  |  a             |  
  operator    |  =             |  
  identifier  |  e             |  
  operator    |  -             |  
  identifier  |  f             |  
  separator   |  ;             |  
  identifier  |  b             |  
  operator    |  =             |  
  identifier  |  g             |  
  operator    |  *             |  
  identifier  |  n             |  
  separator   |  ;             |  
